01_game_name,02_hltb_name,03_hltb_id,04_time_main,05_time_plus,06_time_100,07_time_allstyle,08_count_main,09_count_plus,10_count_100,11_count_allstyle,12_count_completed,13_count_speedrun,14_count_backlog,15_count_playing,16_count_retired,17_review_score,18_count_review
GRID 2,race driver: grid,7510,71718,86500,126557,88341,81,40,45,166,597,0,3099,24,684,77,176
BioShock,bioshock,1065,43557,56197,80125,50858,2848,2082,558,5488,16701,11,14670,224,2203,85,4178
Bejeweled 2 Deluxe,bejeweled 2,1000,5712,11268,18422,8806,5,5,3,13,42,0,148,3,38,68,13
Indigo Prophecy,indigo prophecy / fahrenheit,4672,29235,32716,34437,31142,310,139,102,551,1677,2,2732,30,172,72,490
Championship Manager 2010,championship manager 2010,19549,0,0,0,0,0,0,0,0,1,0,7,0,6,0,0
The Movies,the movies,10101,106467,128960,0,110860,9,3,0,12,46,0,53,3,17,72,30
The Book of Unwritten Tales,the book of unwritten tales,9790,46197,55828,56481,50603,106,27,54,187,500,0,1122,6,62,79,92
Dark Void,dark void,2230,25554,34122,58923,28155,69,17,2,88,215,0,501,0,42,57,83
Crysis 2,crysis 2,2069,32794,43201,54477,36518,765,273,63,1101,3660,1,5679,40,709,73,904
Alan Wake,alan wake,319,40281,51819,93503,46634,1458,1119,186,2763,7575,2,8438,99,795,79,1951
Homefront,homefront,4494,14965,19897,34200,16398,672,161,25,858,2186,1,2954,47,388,59,566
Alpha Protocol,alpha protocol,401,46999,62404,92516,56999,230,270,45,545,1547,3,3927,30,418,72,428
LEGO The Lord of the Rings,lego the lord of the rings: the video game,5265,36271,60693,120677,66985,291,169,297,757,1968,2,4344,79,331,74,491
Age of Empires Online,age of empires online,27489,64800,0,1080000,191925,3,0,1,4,34,0,131,8,143,76,7
Duke Nukem Forever,duke nukem forever,2924,33205,44194,74465,37988,300,145,31,476,1503,1,2140,34,369,55,399
Spore,spore,8985,44388,105878,391580,77946,89,70,9,168,1057,1,1378,43,457,72,286
Mount & Blade,mount & blade,6243,153944,328680,612805,186975,20,5,3,28,268,0,1814,22,441,74,47
Lost Planet 3,lost planet 3,5396,38077,53203,68550,45559,71,67,4,142,340,0,2162,20,146,61,107
The Darkness II,the darkness ii,9830,21729,29447,53034,25128,668,282,110,1060,2915,3,5183,60,397,74,662
Dragon Age II,dragon age ii,2756,95120,133937,208210,137364,247,819,240,1306,2683,3,2305,11,173,73,974
BioShock 2,bioshock 2,1066,38646,51799,83216,46285,1361,1178,247,2786,8794,2,14840,128,1749,78,2186
Just Cause 2,just cause 2,4905,63885,124289,313926,108653,397,438,111,946,3435,2,7772,79,1548,74,697
Evolve,evolve,16639,16540,25448,221460,37652,18,8,6,32,239,0,906,6,938,55,81
Football Manager 2010,football manager 2010,3628,1154057,1475819,1887291,1202875,7,6,0,13,57,0,39,2,73,78,18
Pro Evolution Soccer 2016,pro evolution soccer 2016,30359,145336,278940,343260,164248,11,2,1,14,57,0,38,0,42,73,30
Lost Horizon,lost horizon,5386,36715,39358,41974,38586,26,11,8,45,98,0,466,6,28,78,30
Guild Wars Trilogy,,,,,,,,,,,,,,,,,
Trapped Dead,trapped dead,10617,37019,41940,47250,39924,3,2,4,9,28,0,386,3,74,51,9
Bulletstorm,bulletstorm,1383,26900,33154,59176,28977,818,278,28,1124,3219,3,2918,36,275,74,927
The Void,the void,10248,88762,107302,155520,100413,18,9,5,32,81,1,1082,10,129,81,25
Ski Region Simulator,ski region simulator,22884,0,0,0,0,0,0,0,0,1,0,19,1,2,30,1
Demigod,demigod,2429,13050,29227,129600,22147,6,2,1,9,41,0,409,3,115,68,11
F1 Race Stars,f1 race stars,3309,44778,73128,80994,64800,7,6,5,18,51,0,432,10,74,61,18
Guild Wars,guild wars: prophecies,4158,305521,488536,1273788,534740,15,11,3,29,180,0,257,7,196,78,55
Trine 2,trine 2,10652,29688,41497,80868,36884,284,202,46,532,2691,1,6536,62,821,76,426
Bejeweled Twist,bejeweled twist,1002,12600,0,0,12600,2,0,0,2,16,0,71,3,18,50,2
The Night of the Rabbit,the night of the rabbit,12205,34349,50698,55373,47696,30,42,45,117,306,0,1408,19,67,70,61
Still Life 2,still life 2,9212,34950,36864,47858,39627,20,7,8,35,95,0,748,10,40,58,23
F.E.A.R. Perseus Mandate,f.e.a.r. perseus mandate,3299,18177,22189,25061,19439,226,85,41,352,1152,0,3962,28,408,68,244
A Vampyre Story,a vampyre story,142,24080,27263,36000,26721,8,1,3,12,37,0,98,0,13,69,13
The Next BIG Thing,the next big thing,10113,22046,25896,26912,24254,41,10,17,68,213,0,448,5,34,68,45
Breach,breach,65180,0,0,0,0,0,0,0,0,3,0,56,1,18,0,0
Far Cry,far cry,3376,47376,58228,68467,51749,353,84,94,531,1720,4,2749,25,502,71,446
Knights of Honor,knights of honor,5102,39000,0,114390,83210,2,0,4,6,30,0,209,4,34,80,12
Alter Ego,alter ego,408,32678,0,35520,33896,11,0,4,15,53,0,224,1,18,58,14
APB Reloaded,apb: reloaded,517,140400,0,0,140400,1,0,0,1,50,0,339,21,479,49,27
Sacred Gold,sacred gold,8053,69170,150283,300809,136457,10,25,1,36,112,0,619,11,84,73,31
Call of Duty 2,call of duty 2,1465,29867,34575,40389,31964,420,74,82,576,2218,3,665,24,106,78,642
Dead Space 2,dead space 2,2335,32806,41520,58458,36506,1005,513,91,1609,4293,11,6639,67,340,83,1265
Rugby League Team Manager 2015,,,,,,,,,,,,,,,,,
Rayman Origins,rayman origins,7619,39617,51687,77237,49435,253,238,121,612,1963,0,3075,26,301,82,717
Fable III,fable iii,3316,47533,92487,164196,78478,158,242,43,443,1686,5,2069,16,240,67,461
Far Cry 3,far cry 3,3378,56221,91685,133329,86712,1217,1798,745,3760,10470,5,6932,92,779,83,2743
Monopoly,monopoly,6139,1832,3000,3000,2412,6,2,1,9,37,1,30,1,5,58,17
R.U.S.E.,r.u.s.e.,7503,54830,87744,120162,59331,10,5,2,17,106,0,487,9,104,74,17
Stronghold Legends,stronghold legends,9282,43044,162210,363000,133522,5,3,3,11,33,0,621,6,96,61,15
BioShock Infinite,bioshock infinite,1068,41739,56538,98276,49681,3656,2623,370,6649,19049,16,14014,142,646,85,4499
Remember Me,remember me,7702,35527,42514,63058,39549,513,329,84,926,2583,1,3840,41,330,71,682
Sid Meier's Civilization V,sid meier's civilization v,8510,143599,419509,1450616,327414,189,152,39,380,3106,1,5513,109,2207,84,653
World of Zoo,world of zoo,11291,0,0,0,0,0,0,0,0,9,0,94,2,29,0,0
The First Templar,the first templar,9877,36230,48754,64397,47027,18,30,7,55,120,0,644,5,44,65,40
Wolfenstein,wolfenstein,11249,32126,38599,42059,34999,133,106,15,254,599,4,425,1,37,70,250
Supreme Commander,supreme commander,9483,66340,104460,172194,97886,16,11,8,35,216,0,1802,12,241,74,44
The Longest Journey,the longest journey,10053,63041,74942,77029,70015,132,47,59,238,742,1,1896,14,119,84,192
Wildlife Park 3,wildlife park 3,17098,0,0,108000,108000,0,0,1,1,7,0,183,2,38,30,1
NBA 2K11,nba 2k11,6428,144000,579580,2332729,279178,9,6,0,15,76,0,71,1,49,82,34
Dishonored,dishonored,2602,43640,64683,130900,58319,1817,1953,304,4074,11871,29,10903,140,815,83,2779
Dungeon Siege III,dungeon siege iii,2959,52515,63815,99267,63208,55,128,22,205,513,2,2411,27,248,67,150
Tomb Raider,tomb raider,10469,40710,55574,74677,51572,3770,3502,1474,8746,20880,9,11704,217,718,81,5221
Mass Effect,mass effect,5698,61250,99900,155279,95582,1461,2234,848,4543,10755,31,6425,74,604,84,3006
Borderlands,borderlands,1273,80615,125593,226396,117777,663,1024,231,1918,8127,0,6439,86,1652,76,1582
Overlord II,overlord ii,6850,58409,74016,91149,71624,38,57,19,114,473,0,3530,40,313,70,82
Assassin's Creed III,assassin's creed iii,655,58371,111361,196970,95112,993,970,329,2292,6834,8,4717,54,602,70,1971
Fallout 3,fallout 3,3340,80431,190441,417062,170258,485,627,212,1324,3491,11,2707,24,451,82,1133
Take On Helicopters,take on helicopters,9578,48800,50280,0,49810,3,3,0,6,21,0,653,12,101,46,5
Braid,braid,1290,18270,21591,27569,20590,567,395,179,1141,4474,14,5169,50,805,80,876
Stronghold Kingdoms,stronghold kingdoms,12373,0,1200540,0,1200540,0,1,0,1,18,0,176,10,110,40,4
Tropico 5,tropico 5,18854,77013,135766,368657,106163,44,18,7,69,386,0,2251,35,323,72,83
Gray Matter,gray matter,4088,42325,48231,50305,45635,27,13,22,62,165,1,494,2,22,74,43
Metro 2033,metro 2033,5946,34139,42389,70525,37902,894,350,86,1330,4322,6,8310,108,1370,77,808
RIFT,drift21,86046,18000,28800,43200,29400,1,1,1,3,2,0,36,3,1,100,1
Wasteland 2,wasteland 2,11099,146741,233927,388598,236886,28,187,29,244,607,0,3688,30,689,76,160
Darksiders,darksiders,2243,61498,73035,99131,70611,910,911,311,2132,5853,1,10422,102,1662,75,1383
NBA 2K13,nba 2k13,6430,265635,894630,2393075,523373,8,7,2,17,113,0,137,0,118,75,38
4 Elements,4 elements,77,29705,32418,36855,33601,19,5,33,57,138,0,119,1,27,62,27
Evil Genius,evil genius,3242,97868,98514,135348,108069,11,10,2,23,169,0,1113,17,162,70,27
Ghost Pirates of Vooju Island,ghost pirates of vooju island,3913,23040,35640,64500,30527,4,1,2,7,21,0,156,3,7,68,4
Tom Clancy's EndWar,tom clancy's endwar,10424,37647,100926,270568,50764,13,5,0,18,63,0,356,5,56,64,17
Tomb Raider II,tomb raider ii,10471,56279,67178,75670,63089,86,64,35,185,738,3,3361,36,284,79,197
Praetorians,praetorians,7268,54880,0,322200,107087,4,0,2,6,24,0,207,3,17,66,7
Might & Magic Heroes VI,might & magic: heroes vi,6020,314462,336472,703500,385659,10,9,6,25,120,0,691,17,174,66,38
Anno 2205,anno 2205,31282,69498,116098,195949,96003,18,10,3,31,100,0,176,6,52,70,27
Dead Rising 2,dead rising 2,2327,51069,63785,186556,62586,117,158,23,298,1154,0,3255,33,417,73,374
Football Manager 2014,football manager 2014,15300,1641086,2113650,6051600,1960050,7,4,1,12,131,0,106,7,220,82,25
World in Conflict,world in conflict,11281,42988,48508,58793,45079,27,16,4,47,189,0,439,5,53,79,56
Hospital Tycoon,hospital tycoon,4507,18540,0,0,18540,4,0,0,4,24,0,426,7,58,68,5
Crysis,crysis,2068,36108,43540,47474,38541,770,303,142,1215,3733,4,3424,41,466,76,998
Test Drive Unlimited 2,test drive unlimited 2,9713,99550,237378,495591,189340,16,27,3,46,175,0,417,8,200,72,53
Football Manager 2013,football manager 2013,11720,1039205,1152000,1921020,1474247,15,2,3,20,145,0,119,5,222,81,27
Stormrise,stormrise,9219,39600,0,0,39600,2,0,0,2,6,0,71,1,12,43,3
15 Days,15 days,46,23400,25503,44156,27254,7,2,1,10,18,0,64,0,9,47,9
Quake 4,quake 4,7453,28547,36344,47039,30105,173,51,17,241,621,0,875,6,83,71,213
Dungeon Defenders,dungeon defenders,2939,51556,212596,1265820,153638,63,54,10,127,1009,2,3283,32,1245,72,159
Damnation,damnation,2152,29488,33018,36970,31564,18,9,0,27,64,0,389,6,36,45,26
Dawn of Discovery,dawn of discovery: venice,28176,0,0,0,0,0,0,0,0,19,0,150,2,24,90,4
Far Cry 4,far cry 4,19310,63344,112501,164991,109755,655,1164,551,2370,5298,5,4158,60,463,76,1609
Anno 2070,anno 2070,491,89273,140639,586513,133749,27,22,5,54,307,0,1248,19,412,72,70
Street Fighter IV,street fighter iv,9244,9139,73056,436062,33880,41,24,4,69,364,1,291,2,142,77,131
The Secret World,the secret world,10163,109200,811936,1965749,820252,3,9,3,15,82,0,891,15,463,73,32
Dying Light,dying light,21252,62769,126230,199329,108135,673,964,178,1815,4551,5,3317,120,505,78,1190
X Rebirth,x rebirth,11360,54000,426376,0,223786,1,2,0,3,25,0,272,5,74,60,4
Mini Ninjas,mini ninjas,6074,28578,39953,56438,34490,71,44,20,135,377,1,1996,27,210,70,109
Trine,trine,10651,22093,30335,55627,27643,643,342,154,1139,4001,4,4964,69,560,75,703
F.E.A.R. 3,f.e.a.r. 3,3296,21329,29239,54435,23293,397,136,28,561,1994,5,4749,44,435,61,478
Mass Effect 2,mass effect 2,5699,87918,127718,180913,129838,830,2168,874,3872,9626,8,7405,53,424,90,2732
TimeShift,timeshift,10361,28512,33360,35099,29257,121,18,9,148,371,0,936,8,67,67,142
Company of Heroes 2,company of heroes 2,1875,54512,80813,195301,66909,69,45,4,118,560,0,5352,98,744,73,123
Two Worlds II,two worlds ii,10732,110557,143607,181037,139210,25,60,17,102,284,0,2104,19,308,64,75
Sengoku,sengoku,18245,14286,0,0,14286,1,0,0,1,14,0,339,2,75,43,4
Cities XL 2012,cities xl 2012,1721,0,0,0,0,0,0,0,0,16,0,109,5,97,63,3
Pro Evolution Soccer 2014,pro evolution soccer 2014,14188,57665,165000,4500000,489611,2,1,3,6,59,0,92,5,43,58,35
Worldwide Soccer Manager 2009,football manager 2009,3627,467472,957150,1584125,592066,5,6,2,13,43,0,25,0,58,77,15
Tropico 4,tropico 4,10674,144758,218112,367908,214700,52,48,31,131,748,0,4359,60,916,74,117
The Cursed Crusade,the cursed crusade,9823,28548,43680,74022,40546,11,8,5,24,51,0,132,1,19,49,27
Mafia II,mafia ii,5513,43621,57489,108956,51083,1032,553,139,1724,5218,1,4006,54,417,80,1293
Far Cry 2,far cry 2,3377,60126,93509,149972,82535,233,267,70,570,1784,2,4403,47,873,68,542
The Last Remnant,the last remnant,9999,219746,272931,537762,291407,24,64,21,109,308,0,4152,28,436,72,118
Sid Meier's Civilization IV,sid meier's civilization iv,8505,46109,152175,413330,99147,49,29,6,84,679,1,2665,24,928,82,153
Impossible Creatures,impossible creatures,4640,34986,48480,57670,40498,5,4,3,12,36,0,212,2,31,71,12
NBA 2K12,nba 2k12,6429,253620,319500,777000,333431,6,4,1,11,94,0,67,0,58,78,44
Lara Croft and the Temple of Osiris,lara croft and the temple of osiris,21699,18626,24762,47319,23218,130,111,22,263,791,0,3698,67,291,68,221
Assassin's Creed II,assassin's creed ii,651,68962,95066,126336,93476,1243,1852,1051,4146,11831,3,5471,94,581,83,3233
Football Manager 2015,football manager 2015,22387,1379829,1762347,2946966,1739513,7,9,1,17,118,0,84,4,146,83,25
Grand Theft Auto IV,grand theft auto iv,4062,99845,146580,274009,125141,931,802,168,1901,6287,10,5312,107,1155,82,1678
Grand Theft Auto III,grand theft auto iii,4061,54363,74570,142782,70531,489,307,150,946,3581,6,4749,67,891,76,972
Imperial Glory,imperial glory,4635,40855,0,55800,46437,4,0,2,6,14,0,179,2,11,83,4
Jack Keane,jack keane,4778,37520,39600,0,38404,12,3,0,15,38,0,159,2,20,68,11
